name,window,hidden,lstm_layers,dropout,batch_size,learning_rate,weight_decay,lambda_voltage,loss_function,huber_delta,current_focus_weight,voltage_pca_components,current_pca_components,parameters,best_epoch,epochs_run,initial_val_current_r2_h5,best_val_current_r2_h5,best_val_current_mse_h5,best_val_voltage_r2_h5,best_val_voltage_mse_h5,best_val_total_loss
refine_window_66,66,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.9320881548597154,0.9320881548597154,14.822880663856855,0.6164286455230445,1.0468277873928476e-05,0.33604721002059407
refine_window_75,75,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9320053194659186,0.932029111686501,14.835767810550701,0.5917921544433427,1.1140647255663353e-05,0.34181914648207107
refine_window_119,119,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,4,12,0.9311677527364024,0.9319412050584827,14.854954882467029,0.6023591437364382,1.0852257158436742e-05,0.3333512287918884
refine_window_120,120,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,4,12,0.9308748787617847,0.9317600345023781,14.89449834542841,0.6012090830208789,1.0883644161146523e-05,0.3336192912394457
refine_window_90,90,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,4,12,0.9277077107598521,0.9294613049388785,15.396233998875132,0.5825470602745213,1.1392960713381873e-05,0.34393531762727414
w60_hidden_192,60,192,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,424592,4,12,0.9272082129530225,0.9289631673633756,15.504960743386507,0.5666926781670081,1.1825652246479296e-05,0.34235268359137055
w60_batch_64,60,128,1,0.2,64,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,9,17,0.9272082129530225,0.9282363478881681,15.663601085478703,0.5684473712229733,1.1777763856730615e-05,0.3424526807105187
w60_layers_2,60,128,2,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,349008,4,12,0.9272082129530225,0.928172522115062,15.677532113505933,0.5627704919292573,1.1932695003793801e-05,0.342682689723402
w60_current_only,60,128,1,0.2,32,0.0001,0.0001,0.0,huber,1.0,1.0,16,64,216912,4,12,0.9272082129530225,0.9279783928747681,15.719904023093967,0.5600018646553564,1.2008255285588183e-05,0.2955338698212463
w60_vweight_010,60,128,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,216912,4,12,0.9272082129530225,0.92793846071201,15.72861987644753,0.5620569622167606,1.1952168374822524e-05,0.3113730048189069
w60_learning_rate_5e5,60,128,1,0.2,32,5e-05,0.0001,0.3,huber,1.0,1.0,16,64,216912,9,17,0.9272082129530225,0.927926800138908,15.731164988912179,0.5656758960292417,1.1853401862896556e-05,0.34278272933299
w60_hidden_192_pca_128,60,192,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,128,449232,3,11,0.9272082129530225,0.9278645231789668,15.74475796291265,0.5617650620834069,1.196013479794489e-05,0.34280901439119094
w60_dropout_030,60,128,1,0.3,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,5,13,0.9272082129530225,0.9278344028354173,15.751332224840983,0.5658324196312263,1.1849130082586898e-05,0.34267274548511695
w60_mse,60,128,1,0.2,32,0.0001,0.0001,0.3,mse,1.0,1.0,16,64,216912,5,13,0.9272082129530225,0.927779715148574,15.76326871477416,0.5648941270144836,1.1874737594004199e-05,2.6876938909587293
